First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,55,9,12,12,66,0,0,55
202,63,0,26,67,129,41,41,104
203,59,4,78,130,188,52,52,111
204,55,3,95,189,243,94,94,149
205,64,2,117,244,307,127,127,191
206,65,0,146,308,372,162,162,227
207,55,8,162,373,427,211,211,266
208,62,3,173,428,489,255,255,317
209,57,2,177,490,546,313,313,370
210,70,5,179,547,616,368,368,438
211,56,0,227,617,672,390,390,446
212,72,7,258,673,744,415,415,487
213,67,8,304,745,811,441,441,508
214,57,4,345,812,868,467,467,524
215,48,8,354,869,916,515,515,563
216,70,3,419,917,986,498,498,568
217,52,1,463,987,1038,524,524,576
218,46,8,504,1039,1084,535,535,581
219,39,2,572,1085,1123,513,513,552
220,33,2,588,1124,1156,536,536,569
221,48,8,648,1157,1204,509,509,557
222,50,6,711,1205,1254,494,494,544
223,69,9,736,1255,1323,519,519,588
224,49,3,773,1324,1372,551,551,600
225,61,4,781,1373,1433,592,592,653
226,41,2,788,1434,1474,646,646,687
227,75,1,789,1475,1549,686,686,761
228,47,0,796,1550,1596,754,754,801
229,58,5,847,1597,1654,750,750,808
230,66,9,890,1655,1720,765,765,831
231,54,3,917,1721,1774,804,804,858
232,68,4,924,1775,1842,851,851,919
233,48,4,948,1843,1890,895,895,943
234,55,2,971,1891,1945,920,920,975
235,65,9,971,1946,2010,975,975,1040
236,50,1,1040,2011,2060,971,971,1021
237,44,4,1064,2061,2104,997,997,1041
238,71,0,1074,2105,2175,1031,1031,1102
239,67,2,1087,2176,2242,1089,1089,1156
240,69,8,1156,2243,2311,1087,1087,1156
241,47,4,1166,2312,2358,1146,1146,1193
242,57,8,1203,2359,2415,1156,1156,1213
243,53,6,1249,2416,2468,1167,1167,1220
244,68,1,1277,2469,2536,1192,1192,1260
245,43,4,1285,2537,2579,1252,1252,1295
246,74,4,1304,2580,2653,1276,1276,1350
247,48,7,1371,2654,2701,1283,1283,1331
248,63,9,1378,2702,2764,1324,1324,1387
249,51,0,1418,2765,2815,1347,1347,1398
250,74,2,1482,2816,2889,1334,1334,1408
251,54,8,1483,2890,2943,1407,1407,1461
252,64,5,1487,2944,3007,1457,1457,1521
253,54,8,1518,3008,3061,1490,1490,1544
254,38,5,1555,3062,3099,1507,1507,1545
255,58,4,1560,3100,3157,1540,1540,1598
256,72,9,1628,3158,3229,1530,1530,1602
257,73,6,1639,3230,3302,1591,1591,1664
258,66,8,1659,3303,3368,1644,1644,1710
259,62,8,1691,3369,3430,1678,1678,1740
260,55,8,1694,3431,3485,1737,1737,1792
261,36,5,1739,3486,3521,1747,1747,1783
262,68,9,1793,3522,3589,1729,1729,1797
263,76,2,1849,3590,3665,1741,1741,1817
264,69,4,1893,3666,3734,1773,1773,1842
265,50,6,1940,3735,3784,1795,1795,1845
266,73,1,1999,3785,3857,1786,1786,1859
267,50,9,2015,3858,3907,1843,1843,1893
268,67,2,2036,3908,3974,1872,1872,1939
269,59,3,2080,3975,4033,1895,1895,1954
270,72,7,2116,4034,4105,1918,1918,1990
271,62,5,2161,4106,4167,1945,1945,2007
272,50,9,2226,4168,4217,1942,1942,1992
273,72,7,2243,4218,4289,1975,1975,2047
274,66,3,2301,4290,4355,1989,1989,2055
275,85,5,2344,4356,4440,2012,2012,2097
276,62,4,2386,4441,4502,2055,2055,2117
277,51,3,2397,4503,4553,2106,2106,2157
278,63,0,2438,4554,4616,2116,2116,2179
279,65,4,2497,4617,4681,2120,2120,2185
280,70,5,2509,4682,4751,2173,2173,2243
281,57,9,2561,4752,4808,2191,2191,2248
282,51,8,2602,4809,4859,2207,2207,2258
283,40,5,2622,4860,4899,2238,2238,2278
284,64,6,2688,4900,4963,2212,2212,2276
285,47,5,2743,4964,5010,2221,2221,2268
286,42,2,2745,5011,5052,2266,2266,2308
287,38,8,2813,5053,5090,2240,2240,2278
288,44,6,2820,5091,5134,2271,2271,2315
289,61,9,2873,5135,5195,2262,2262,2323
290,55,5,2888,5196,5250,2308,2308,2363
291,46,6,2926,5251,5296,2325,2325,2371
292,37,7,2938,5297,5333,2359,2359,2396
293,67,5,2960,5334,5400,2374,2374,2441
294,43,1,2983,5401,5443,2418,2418,2461
295,41,2,3048,5444,5484,2396,2396,2437
296,61,4,3115,5485,5545,2370,2370,2431
297,62,2,3160,5546,5607,2386,2386,2448
298,66,4,3161,5608,5673,2447,2447,2513
299,55,7,3175,5674,5728,2499,2499,2554
300,68,8,3208,5729,5796,2521,2521,2589
,,,,,,,,
,,,,,Min,0,0,55
,,,,,Mean,1354.44,1354.44,1412.29
,,,,,Max,2521,2521,2589
,,,,,StdDev,1515.67,1515.67,1652.54
