Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,18,9,50,50,67,0,0,18
102,16,3,65,68,83,3,3,19
103,23,1,130,130,152,0,0,23
104,23,6,165,165,187,0,0,23
105,20,4,198,198,217,0,0,20
106,25,1,218,218,242,0,0,25
107,21,5,264,264,284,0,0,21
108,16,8,287,287,302,0,0,16
109,14,1,324,324,337,0,0,14
110,22,1,380,380,401,0,0,22
111,18,9,439,439,456,0,0,18
112,15,2,484,484,498,0,0,15
113,17,0,509,509,525,0,0,17
114,20,0,575,575,594,0,0,20
115,16,6,605,605,630,10,0,26
116,21,7,615,615,641,6,0,27
117,23,7,651,651,673,0,0,23
118,20,2,689,689,728,20,0,40
119,22,8,690,699,749,38,9,60
120,19,9,707,709,747,22,2,41
121,14,6,758,758,771,0,0,14
122,17,3,796,796,822,10,0,27
123,24,4,801,806,836,12,5,36
124,23,2,859,859,881,0,0,23
125,18,7,880,882,899,2,2,20
126,15,1,896,900,914,4,4,19
127,14,1,960,960,973,0,0,14
128,15,6,1009,1009,1023,0,0,15
129,14,0,1070,1070,1093,10,0,24
130,22,7,1072,1080,1105,12,8,34
131,22,5,1127,1127,1148,0,0,22
132,23,8,1156,1156,1178,0,0,23
133,25,7,1190,1190,1224,10,0,35
134,17,6,1204,1210,1231,11,6,28
135,23,9,1221,1232,1254,11,11,34
136,19,7,1256,1256,1284,10,0,29
137,15,7,1264,1266,1289,11,2,26
138,20,3,1317,1317,1336,0,0,20
139,20,7,1367,1367,1386,0,0,20
140,15,1,1433,1433,1447,0,0,15
141,16,8,1471,1471,1486,0,0,16
142,19,3,1506,1506,1524,0,0,19
143,20,3,1547,1547,1566,0,0,20
144,19,8,1569,1569,1587,0,0,19
145,18,4,1630,1630,1647,0,0,18
146,21,1,1667,1667,1687,0,0,21
147,18,9,1731,1731,1748,0,0,18
148,18,5,1779,1779,1806,10,0,28
149,16,1,1788,1789,1812,9,1,25
150,20,2,1810,1813,1832,3,3,23
151,23,5,1827,1833,1855,6,6,29
152,23,7,1887,1887,1909,0,0,23
153,23,5,1917,1917,1949,10,0,33
154,15,5,1934,1937,1954,6,3,21
155,22,0,1971,1971,1992,0,0,22
156,15,9,2018,2018,2032,0,0,15
157,19,4,2057,2057,2075,0,0,19
158,14,9,2113,2113,2126,0,0,14
159,19,9,2135,2135,2153,0,0,19
160,23,2,2175,2175,2233,36,0,59
161,16,9,2183,2185,2220,22,2,38
162,20,1,2195,2195,2230,16,0,36
163,21,6,2250,2250,2270,0,0,21
164,18,3,2303,2303,2320,0,0,18
165,21,8,2317,2321,2371,34,4,55
166,24,1,2318,2331,2375,34,13,58
167,15,2,2356,2361,2380,10,5,25
168,25,7,2412,2412,2466,30,0,55
169,22,7,2413,2422,2468,34,9,56
170,21,3,2438,2452,2479,21,14,42
171,19,5,2481,2481,2509,10,0,29
172,20,5,2487,2491,2519,13,4,33
173,16,1,2503,2520,2545,27,17,43
174,20,6,2517,2530,2555,19,13,39
175,24,3,2565,2565,2588,0,0,24
176,25,0,2627,2627,2661,10,0,35
177,20,3,2639,2647,2671,13,8,33
178,22,9,2698,2698,2719,0,0,22
179,23,7,2728,2728,2760,10,0,33
180,22,0,2747,2748,2772,4,1,26
181,18,1,2784,2784,2801,0,0,18
182,19,0,2808,2808,2826,0,0,19
183,22,5,2839,2839,2860,0,0,22
184,20,3,2884,2884,2903,0,0,20
185,18,2,2896,2904,2931,18,8,36
186,20,2,2899,2914,2941,23,15,43
187,18,8,2965,2965,2982,0,0,18
188,18,3,3031,3031,3048,0,0,18
189,17,4,3099,3099,3115,0,0,17
190,19,6,3160,3160,3178,0,0,19
191,17,6,3226,3226,3252,10,0,27
192,21,4,3227,3236,3273,26,9,47
193,18,2,3260,3263,3281,4,3,22
194,18,9,3284,3284,3301,0,0,18
195,25,3,3327,3327,3351,0,0,25
196,16,9,3396,3396,3411,0,0,16
197,9,1,3441,3441,3449,0,0,9
198,20,7,3454,3454,3473,0,0,20
199,17,7,3488,3488,3504,0,0,17
200,16,0,3554,3554,3569,0,0,16
,,,,,,,,
,,,,,Min,0,0,9
,,,,,Mean,6.70,1.90,25.95
,,,,,Max,38,17,60
,,,,,StdDev,9.92,3.85,11.10
